Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
29	3073.3882	4.3959236	3077.1648	3066.309	1000.0	142.58275	0.0010508425	142.58417	142.57973	150000	-0.9268156	21810.252	-4720431000.0	-979.71094	-1956.6075	133937830000.0	3997.4262998104095
30	3078.4917	1.5757856	3080.6206	3076.258	1000.0	146.41737	0.0009918242	146.41876	146.41454	155000	-0.8380707	20953.424	-3966802400.0	-945.5957	-1956.9384	107793695000.0	4131.6791343688965
31	3092.592	1.0004882	3094.219	3091.1687	1000.0	150.21707	0.0009385887	150.2184	150.21443	160000	-0.66379726	20329.771	-2444450600.0	-924.81836	-1957.0432	74485810000.0	4264.825873374939
32	3097.575	3.6874676	3102.247	3092.1294	1000.0	154.00626	0.00088343763	154.00749	154.00372	165000	-0.97040117	19513.803	-1634032100.0	-892.2051	-1957.3412	65367310000.0	4397.805827617645
33	3096.3403	1.4984655	3098.155	3094.4258	1000.0	157.76257	0.00084160216	157.76372	157.76016	170000	-0.8098016	18603.057	-2018663200.0	-851.0957	-1957.3716	64401215000.0	4531.8219974040985
34	3091.4324	2.9739606	3097.1782	3089.0466	1000.0	161.46588	0.00078892754	161.467	161.46358	175000	-0.8644785	17653.605	-2012391200.0	-805.959	-1957.3948	51245000000.0	4665.155910730362
35	3090.909	5.112959	3097.706	3082.8423	1000.0	165.10446	0.00073349965	165.10548	165.10226	180000	-0.6502473	16835.514	-3570147000.0	-768.10254	-1957.082	107861615000.0	4798.130360841751
36	3074.121	3.7349508	3080.3096	3069.7676	1000.0	168.6907	0.0006917166	168.69164	168.68858	185000	-0.84817386	15769.338	-4947042300.0	-710.9326	-1956.694	139569920000.0	4931.336206674576
37	3055.7368	3.5716178	3062.3225	3052.6045	1000.0	172.17932	0.0006586136	172.1802	172.1773	190000	-1.4174918	14748.235	-7756656600.0	-653.63184	-1956.1978	188835280000.0	5064.4214243888855
38	3028.9521	1.2839341	3030.843	3027.294	1000.0	175.56128	0.0006245001	175.56209	175.55933	195000	-1.5145515	13662.483	-8651198000.0	-589.2207	-1955.8602	169301180000.0	5197.435009002686
39	3004.2566	2.6019645	3007.127	3000.3223	1000.0	178.81128	0.00059124053	178.81198	178.80937	200000	-1.9756203	12709.689	-14559969000.0	-531.05176	-1955.3925	235111860000.0	5330.780460357666
40	2976.6086	1.7709765	2979.5908	2974.153	1000.0	181.9344	0.00056031405	181.93504	181.93254	205000	-2.512975	11780.636	-10785486000.0	-473.43164	-1954.5573	152574120000.0	5464.678327560425
41	2958.1428	1.7781386	2960.9832	2956.1074	1000.0	184.92238	0.0005417337	184.923	184.9206	210000	-2.4796987	11066.383	-12373873000.0	-429.1494	-1953.8236	141278740000.0	5598.5672109127045
42	2931.393	1.5248638	2933.0718	2928.8245	1000.0	187.80408	0.00051824894	187.80467	187.80228	215000	-3.3679917	10321.949	-12413117000.0	-379.52734	-1953.0345	153405540000.0	5732.5535089969635
43	2912.0276	2.7086997	2916.8457	2909.1655	1000.0	190.55435	0.0004947034	190.55492	190.55266	220000	-3.6580937	9727.892	-28920920000.0	-339.95703	-1952.162	275261030000.0	5866.523961782455
44	2894.1753	2.6672575	2897.7837	2889.9062	1000.0	193.1942	0.0004908638	193.19473	193.19254	225000	-3.792171	9198.812	-39089760000.0	-304.53125	-1951.6962	336937300000.0	6000.246956825256
45	2879.7356	1.7073243	2882.0447	2877.0952	1000.0	195.7304	0.0004675393	195.7309	195.72868	230000	-4.390516	8741.77	-53884666000.0	-274.46582	-1951.0815	454746500000.0	6134.269521474838
46	2870.8335	2.7394862	2873.8933	2866.0608	1000.0	198.17482	0.0004641479	198.17534	198.17322	235000	-4.312812	8388.04	-32781025000.0	-250.79932	-1950.9314	279842400000.0	6268.425226688385
47	2880.9988	3.7425926	2887.6943	2877.1792	1000.0	200.5473	0.00043848483	200.54774	200.54573	240000	-3.5570273	8211.217	-37634404000.0	-244.71338	-1951.148	314941280000.0	6402.793908596039
48	2904.5366	1.5355445	2906.8848	2902.8225	1000.0	202.9233	0.00043329777	202.92374	202.9218	245000	-3.586857	8134.5215	-29403621000.0	-251.11914	-1951.7814	303196180000.0	6536.410677909851
49	2911.6445	1.8447492	2913.461	2908.9924	1000.0	205.36447	0.0004284682	205.36494	205.36295	250000	-3.4922462	7957.791	-16977140000.0	-242.5752	-1951.374	186912950000.0	6670.381910562515
